64
0.0 0.0
1.0 0.0
1.0 0.5
0.5 0.5
0.5 1.0
0.0 1.0
0.375 0.875
0.5 0.75
0.25 1.0
0.0 0.5
0.0 0.75
0.25 0.625
0.1875 0.8125
0.3541666666666667 0.7291666666666666
0.38888888888888884 0.5902777777777777
0.12313964273867245 0.5662207145226551
0.5 0.0
0.24216437302014998 0.49286086019400754
0.0 0.25
0.0 0.625
0.11901441392723312 0.4262902080702764
0.0 0.375
0.25 0.0
0.23490100152126045 0.35910374820315394
0.12118862852696956 0.29650366337931544
0.39838786643312574 0.37134262757616526
0.04553363052158821 0.3125
0.0 0.125
0.2101064310969517 0.2695641290249454
0.12908516093114525 0.1623545461112914
0.3225275805033182 0.2866361578144809
0.28680553017533794 0.14318100239105327
0.5038029264152828 0.2006142152994981
0.07846461556004394 0.22668179509213213
0.0598360008708609 0.15994168121117563
0.125 0.0
0.0972208784370992 0.08192764595831431
0.0625 0.0
0.0 0.0625
0.03125 0.03125
0.07448986748361325 0.04323986748361325
0.045836153005969486 0.08609705634678722
0.1875 0.06686515177071335
0.20692314156990577 0.144359188334713
0.375 0.0
0.38951230674242077 0.19378097271361072
0.3730908473436518 0.09757687847568827
0.3569248978245137 0.4792173085244496
0.75 0.5
0.47652652016463637 0.10078812561271083
0.75 0.0
0.625 0.0
0.598719590889228 0.12103971944251551
0.6761566780855413 0.3098025467072299
0.5420871816488495 0.36230527972928606
0.625 0.5
0.125 1.0
0.0 0.875
0.1214275131558205 0.6982174605325385
0.7585455389015542 0.16573865707239388
1.0 0.25
0.875 0.07664459338171421
0.8436348931805022 0.309991178373379
0.875 0.5
98
14 7 13
23 25 47
4 6 7
12 6 8
14 17 47
54 32 53
4 8 6
57 10 12
18 26 21
6 13 7
11 13 12
15 20 17
58 12 10
57 56 5
12 13 6
14 13 11
58 11 12
7 14 3
36 35 42
49 16 52
17 14 11
19 9 15
15 17 11
9 20 15
18 34 33
25 30 45
58 19 15
17 20 23
20 9 21
23 20 24
21 26 20
28 30 23
43 42 31
28 24 33
23 30 25
3 14 47
53 59 62
20 26 24
30 28 31
30 31 45
23 24 28
33 24 26
18 33 26
38 0 39
29 43 28
46 49 45
44 49 46
55 3 54
34 18 27
28 33 29
40 35 36
29 33 34
41 34 27
34 36 29
42 35 22
37 40 39
40 41 39
38 39 41
0 37 39
35 40 37
40 36 41
34 41 36
27 38 41
31 42 22
29 36 42
28 43 31
29 42 43
46 45 31
22 44 46
25 45 32
22 46 31
49 44 16
23 47 17
3 47 25
16 51 52
54 3 25
52 32 49
45 49 32
62 59 61
51 50 52
53 32 52
50 59 52
53 52 59
32 54 25
55 53 48
19 58 10
53 55 54
12 8 56
56 57 12
11 58 15
1 61 50
60 62 61
60 61 1
63 48 62
59 50 61
2 62 60
48 53 62
62 2 63
28
1 50
2 60
3 55
7 4
5 56
0 38
7 3
8 4
9 19
10 57
16 44
19 10
18 21
21 9
27 18
22 35
35 37
37 0
38 27
44 22
50 51
48 63
51 16
55 48
56 8
57 5
60 1
63 2
